"Time","Source","Destination","Protocol","Length","D-Port","S-Port","ACK","SYN","Delta-Time"
"1.966274","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000016"
"1.967389","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.001115"
"1.967611","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000222"
"1.967861","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000250"
"1.968114","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000253"
"1.968363","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000249"
"1.968615","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000252"
"1.968857","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000242"
"1.969110","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000253"
"1.969358","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000248"
"1.969607","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000249"
"1.969853","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000246"
"1.970109","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000256"
"1.978056","172.27.224.250","172.27.224.251","TCP","60","52516","502","Set","Not set","0.007947"
"1.978718","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.000662"
"1.987125","172.27.224.250","172.27.224.251","TCP","60","52516","502","Set","Not set","0.008407"
"1.987974","172.27.224.250","172.27.224.251","Modbus/TCP","66","52516","502","Set","Not set","0.000849"
"2.020979","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.033005"
"2.183935","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.162956"
"2.190168","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.006233"
"2.278204","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.088036"
"2.287444","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.009240"
"2.495975","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.208531"
"2.590613","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094638"
"2.598089","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.007476"
"2.807934","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.209845"
"2.902175","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094241"
"2.907474","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.005299"
"3.119951","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.212477"
"3.214214","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094263"
"3.218129","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003915"
"3.406315","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.188186"
"3.416135","172.27.224.250","172.27.224.251","TCP","60","52516","502","Set","Not set","0.009820"
"3.417004","172.27.224.250","172.27.224.251","TCP","60","52516","502","Set","Not set","0.000869"
"3.417007","172.27.224.251","172.27.224.250","TCP","60","502","52516","Set","Not set","0.000003"
"3.417178","172.27.224.250","172.27.224.251","TCP","60","52516","502","Set","Not set","0.000171"
"3.426162","172.27.224.250","172.27.224.251","TCP","60","52516","502","Not set","Not set","0.008984"
"3.431923","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.005761"
"3.526224","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094301"
"3.538085","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.011861"
"3.743951","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.205866"
"3.838113","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094162"
"3.847436","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.009323"
"4.020881","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.173445"
"4.055921","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.035040"
"4.150196","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094275"
"4.158082","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.007886"
"4.367973","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.209891"
"4.462253","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094280"
"4.467414","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.005161"
"4.679916","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.212502"
"4.774151","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094235"
"4.778096","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003945"
"4.854139","ASUSTekCOMPU_64:40:79","Broadcast","ARP","60","","","","","0.076043"
"4.856032","Telemecaniqu_09:51:3b","ASUSTekCOMPU_64:40:79","ARP","64","","","","","0.001893"
"4.856039","172.27.224.251","172.27.224.250","TCP","60","502","52517","Not set","Set","0.000007"
"4.866282","172.27.224.250","172.27.224.251","TCP","60","52517","502","Set","Set","0.010243"
"4.866286","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000004"
"4.866857","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000571"
"4.867093","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000236"
"4.867340","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000247"
"4.867585","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000245"
"4.867840","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000255"
"4.868086","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000246"
"4.868335","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000249"
"4.868580","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000245"
"4.868830","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000250"
"4.869083","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000253"
"4.869331","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000248"
"4.869578","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000247"
"4.877850","172.27.224.250","172.27.224.251","TCP","60","52517","502","Set","Not set","0.008272"
"4.887158","172.27.224.250","172.27.224.251","TCP","60","52517","502","Set","Not set","0.009308"
"4.887991","172.27.224.250","172.27.224.251","Modbus/TCP","66","52517","502","Set","Not set","0.000833"
"4.991907","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.103916"
"5.090202","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.098295"
"5.101977","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.011775"
"5.107473","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.005496"
"5.319497","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.212024"
"5.413756","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094259"
"5.418130","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.004374"
"5.475633","172.27.224.70","172.27.224.255","UDP","82","1947","64381","","","0.057503"
"5.631518","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.155885"
"5.725810","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094292"
"5.737481","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.011671"
"5.943499","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.206018"
"6.020874","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.077375"
"6.037699","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.016825"
"6.048156","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.010457"
"6.255482","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.207326"
"6.305833","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.050351"
"6.316177","172.27.224.250","172.27.224.251","TCP","60","52517","502","Set","Not set","0.010344"
"6.317015","172.27.224.250","172.27.224.251","TCP","60","52517","502","Set","Not set","0.000838"
"6.317018","172.27.224.251","172.27.224.250","TCP","60","502","52517","Set","Not set","0.000003"
"6.317188","172.27.224.250","172.27.224.251","TCP","60","52517","502","Set","Not set","0.000170"
"6.326205","172.27.224.250","172.27.224.251","TCP","60","52517","502","Not set","Not set","0.009017"
"6.349690","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.023485"
"6.358109","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.008419"
"6.567520","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.209411"
"6.661780","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094260"
"6.667477","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.005697"
"6.879495","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.212018"
"6.973691","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094196"
"6.978141","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.004450"
"7.191487","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.213346"
"7.285723","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094236"
"7.287513","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.001790"
"7.503493","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.215980"
"7.597685","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094192"
"7.608164","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.010479"
"7.753647","ASUSTekCOMPU_64:40:79","Broadcast","ARP","60","","","","","0.145483"
"7.756091","Telemecaniqu_09:51:3b","ASUSTekCOMPU_64:40:79","ARP","64","","","","","0.002444"
"7.756096","172.27.224.251","172.27.224.250","TCP","60","502","52518","Not set","Set","0.000005"
"7.766315","172.27.224.250","172.27.224.251","TCP","60","52518","502","Set","Set","0.010219"
"7.766319","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000004"
"7.767429","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.001110"
"7.767652","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000223"
"7.767923","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000271"
"7.768153","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000230"
"7.768404","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000251"
"7.768648","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000244"
"7.768911","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000263"
"7.769150","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000239"
"7.769399","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000249"
"7.769647","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000248"
"7.769902","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000255"
"7.770184","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000282"
"7.777856","172.27.224.250","172.27.224.251","TCP","60","52518","502","Set","Not set","0.007672"
"7.787469","172.27.224.250","172.27.224.251","TCP","60","52518","502","Set","Not set","0.009613"
"7.788341","172.27.224.250","172.27.224.251","Modbus/TCP","66","52518","502","Set","Not set","0.000872"
"7.815431","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.027090"
"7.910362","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094931"
"7.917529","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.007167"
"7.990639","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.073110"
"8.021108","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.030469"
"8.127466","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.106358"
"8.237236","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.109770"
"8.248192","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.010956"
"8.455055","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.206863"
"8.549268","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094213"
"8.557545","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.008277"
"8.767052","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.209507"
"8.861302","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094250"
"8.868209","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.006907"
"9.079042","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.210833"
"9.173922","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094880"
"9.177506","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003584"
"9.206406","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.028900"
"9.216280","172.27.224.250","172.27.224.251","TCP","60","52518","502","Set","Not set","0.009874"
"9.217486","172.27.224.250","172.27.224.251","TCP","60","52518","502","Set","Not set","0.001206"
"9.217491","172.27.224.251","172.27.224.250","TCP","60","502","52518","Set","Not set","0.000005"
"9.217653","172.27.224.250","172.27.224.251","TCP","60","52518","502","Set","Not set","0.000162"
"9.226208","172.27.224.250","172.27.224.251","TCP","60","52518","502","Not set","Not set","0.008555"
"9.391060","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.164852"
"9.485292","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094232"
"9.488154","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.002862"
"9.703028","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.214874"
"9.797420","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094392"
"9.807487","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.010067"
"10.015034","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.207547"
"10.020825","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.005791"
"10.109308","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.088483"
"10.118172","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.008864"
"10.327051","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.208879"
"10.421320","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094269"
"10.427551","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.006231"
"10.639047","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.211496"
"10.654185","ASUSTekCOMPU_64:40:79","Broadcast","ARP","60","","","","","0.015138"
"10.656181","Telemecaniqu_09:51:3b","ASUSTekCOMPU_64:40:79","ARP","64","","","","","0.001996"
"10.656187","172.27.224.251","172.27.224.250","TCP","60","502","52519","Not set","Set","0.000006"
"10.666402","172.27.224.250","172.27.224.251","TCP","60","52519","502","Set","Set","0.010215"
"10.666422","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000020"
"10.666906","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000484"
"10.667136","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000230"
"10.667384","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000248"
"10.667640","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000256"
"10.667891","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000251"
"10.668130","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000239"
"10.668392","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000262"
"10.668641","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000249"
"10.668883","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000242"
"10.669130","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000247"
"10.669378","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000248"
"10.669628","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000250"
"10.678767","172.27.224.250","172.27.224.251","TCP","60","52519","502","Set","Not set","0.009139"
"10.687267","172.27.224.250","172.27.224.251","TCP","60","52519","502","Set","Not set","0.008500"
"10.688105","172.27.224.250","172.27.224.251","Modbus/TCP","66","52519","502","Set","Not set","0.000838"
"10.733808","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.045703"
"10.737576","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003768"
"10.890345","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.152769"
"10.951026","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.060681"
"11.045290","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094264"
"11.048219","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.002929"
"11.263003","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.214784"
"11.357548","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094545"
"11.367555","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.010007"
"11.574999","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.207444"
"11.669211","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094212"
"11.678231","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.009020"
"11.887008","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.208777"
"11.981213","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094205"
"11.987572","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.006359"
"12.020930","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.033358"
"12.105820","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.084890"
"12.106261","172.27.224.250","172.27.224.251","TCP","60","52519","502","Set","Not set","0.000441"
"12.107514","172.27.224.250","172.27.224.251","TCP","60","52519","502","Set","Not set","0.001253"
"12.107516","172.27.224.251","172.27.224.250","TCP","60","502","52519","Set","Not set","0.000002"
"12.107695","172.27.224.250","172.27.224.251","TCP","60","52519","502","Set","Not set","0.000179"
"12.116262","172.27.224.250","172.27.224.251","TCP","60","52519","502","Not set","Not set","0.008567"
"12.198966","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.082704"
"12.293201","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094235"
"12.298214","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.005013"
"12.510979","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.212765"
"12.605548","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094569"
"12.607510","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.001962"
"12.822989","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.215479"
"12.917195","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094206"
"12.928213","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.011018"
"13.135013","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.206800"
"13.229194","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094181"
"13.237526","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.008332"
"13.446996","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.209470"
"13.541161","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094165"
"13.544370","ASUSTekCOMPU_64:40:79","Broadcast","ARP","60","","","","","0.003209"
"13.546363","Telemecaniqu_09:51:3b","ASUSTekCOMPU_64:40:79","ARP","64","","","","","0.001993"
"13.546370","172.27.224.251","172.27.224.250","TCP","60","502","52520","Not set","Set","0.000007"
"13.548207","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.001837"
"13.556404","172.27.224.250","172.27.224.251","TCP","60","52520","502","Set","Set","0.008197"
"13.556408","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000004"
"13.557114","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000706"
"13.557343","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000229"
"13.557592","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000249"
"13.557839","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000247"
"13.558084","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000245"
"13.558338","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000254"
"13.558585","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000247"
"13.558834","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000249"
"13.559080","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000246"
"13.559334","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000254"
"13.559583","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000249"
"13.559834","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.000251"
"13.567922","172.27.224.250","172.27.224.251","TCP","60","52520","502","Set","Not set","0.008088"
"13.577548","172.27.224.250","172.27.224.251","TCP","60","52520","502","Set","Not set","0.009626"
"13.578865","172.27.224.250","172.27.224.251","Modbus/TCP","66","52520","502","Set","Not set","0.001317"
"13.758980","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.180115"
"13.780648","172.27.224.251","172.27.224.250","TCP","60","502","52520","Set","Not set","0.021668"
"13.853168","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.072520"
"13.857602","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.004434"
"14.020903","HewlettPacka_8e:40:b3","Spanning-tree-(for-bridges)_00","STP","64","","","","","0.163301"
"14.070972","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.050069"
"14.165146","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094174"
"14.168252","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.003106"
"14.382962","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.214710"
"14.477175","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094213"
"14.487607","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.010432"
"14.694944","172.27.224.70","172.27.224.250","TCP","60","502","49499","Set","Not set","0.207337"
"14.789525","172.27.224.70","172.27.224.250","Modbus/TCP","66","502","49499","Set","Not set","0.094581"
"14.798288","172.27.224.250","172.27.224.70","Modbus/TCP","85","49499","502","Set","Not set","0.008763"
