byte_rate,packet_rate,avg_flow_number,avg_deltatime,source_entropy,destination_entropy,s-port_entropy,d-port_entropy,synack_ratio,modbus_rate,tcp_rate,ping_rate,other_rate,label
1136.8601991454773,17.25129285501483,731.58,0.05796915,0.06,0.06,0.05,0.05,0.0449438202247191,0.38,0.55,0.0,0.07,0
1583.1036323816436,22.983502212277052,734.54,0.043509530000000005,0.09,0.1,0.05,0.05,0.022988505747126436,0.3,0.59,0.0,0.11,0
1432.8483859935209,21.046539159716815,786.65,0.047603290000000006,0.08,0.08,0.05,0.06,0.045454545454545456,0.34,0.58,0.0,0.08,0
1278.447674605517,19.250830817731018,799.59,0.05391263,0.08,0.08,0.06,0.06,0.04597701149425287,0.35,0.56,0.0,0.09,0
1313.7717758355882,19.54435846229676,804.38,0.05116819,0.08,0.1,0.06,0.06,0.022988505747126436,0.34,0.56,0.0,0.1,0
1506.0975836575626,21.881411937491826,850.96,0.04679934,0.08,0.09,0.08,0.08,0.045454545454545456,0.32,0.59,0.0,0.09,0
1435.5160057088974,21.819668729425405,878.41,0.046930879999999994,0.07,0.07,0.06,0.06,0.0449438202247191,0.32,0.61,0.0,0.07,0
1194.1446914840556,17.313972618298617,898.56,0.057780880000000014,0.07,0.07,0.06,0.06,0.045454545454545456,0.39,0.53,0.0,0.08,0
1323.1413858912247,20.281137122796206,952.86,0.049312070000000006,0.06,0.06,0.04,0.04,0.021739130434782608,0.34,0.61,0.0,0.05,0
1324.150685543464,20.032536846345902,974.8,0.051892810000000004,0.07,0.07,0.05,0.05,0.044444444444444446,0.34,0.59,0.0,0.07,0
1577.9582649975357,22.915455489362994,925.07,0.04373142999999999,0.09,0.1,0.06,0.06,0.04819277108433735,0.29,0.58,0.0,0.13,0
1223.8790986867336,17.799288811616254,959.13,0.05626277999999999,0.09,0.1,0.05,0.05,0.022988505747126436,0.38,0.52,0.0,0.1,0
1530.19129536848,22.585849378132547,1027.65,0.04521731,0.07,0.07,0.05,0.05,0.044444444444444446,0.32,0.61,0.0,0.07,0
1312.7232761227392,20.118364385022822,1057.46,0.049790970000000004,0.06,0.07,0.05,0.06,0.045454545454545456,0.33,0.59,0.0,0.08,0
1277.6951461005206,19.45037518801219,1069.8,0.051521279999999996,0.06,0.07,0.06,0.06,0.045454545454545456,0.34,0.58,0.0,0.08,0
1172.3694689579959,17.309456207854655,1092.0,0.05777438999999998,0.06,0.07,0.05,0.05,0.022222222222222223,0.38,0.55,0.0,0.07,0
1551.9052838333946,22.701949734250945,1123.09,0.04404914,0.08,0.08,0.06,0.06,0.0449438202247191,0.31,0.62,0.0,0.07,0
1309.5735079377873,20.060868687772476,1154.65,0.04992059,0.07,0.08,0.04,0.04,0.0449438202247191,0.34,0.58,0.0,0.08,0
1283.3986010229985,19.602850176004257,1180.56,0.05105892999999999,0.06,0.06,0.05,0.05,0.0449438202247191,0.34,0.59,0.0,0.07,0
1396.9510576667901,19.23380225343233,1115.43,0.05199432999999999,0.09,0.1,0.05,0.05,0.023529411764705882,0.36,0.52,0.0,0.12,0
1440.1218848845278,21.231341366423823,1201.67,0.04918234999999999,0.08,0.08,0.05,0.05,0.04597701149425287,0.32,0.58,0.0,0.1,0
1419.8159334267496,21.86687099070922,1252.84,0.045742429999999994,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1259.1808414391805,18.280790380940484,1243.69,0.05577042000000001,0.07,0.07,0.07,0.07,0.04597701149425287,0.37,0.54,0.0,0.09,0
1274.2084520158078,19.465451451509438,1289.19,0.051375590000000006,0.07,0.09,0.05,0.05,0.022222222222222223,0.34,0.59,0.0,0.07,0
1332.875973930504,20.417830483004046,1340.76,0.04991913000000001,0.06,0.06,0.04,0.04,0.044444444444444446,0.34,0.59,0.0,0.07,0
1380.9957291861601,21.26899321093732,1350.6,0.047111309999999997,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1281.9363848871208,18.670789176916994,1354.28,0.05450296000000001,0.07,0.07,0.06,0.06,0.045454545454545456,0.37,0.55,0.0,0.08,0
1179.301241097271,17.97441306351579,1419.08,0.05563718000000001,0.06,0.06,0.04,0.04,0.021739130434782608,0.37,0.58,0.0,0.05,0
1413.659036423679,21.792184930224742,1422.57,0.04594601,0.06,0.06,0.04,0.04,0.044444444444444446,0.31,0.63,0.0,0.06,0
1335.1151219978753,20.439606889128527,1428.27,0.04978084,0.07,0.08,0.04,0.04,0.045454545454545456,0.34,0.57,0.0,0.09,0
1286.7635123449636,19.675283063378647,1480.55,0.051654809999999995,0.06,0.07,0.06,0.06,0.0449438202247191,0.33,0.6,0.0,0.07,0
1146.2455998693947,17.31227306856056,1469.06,0.05776502999999999,0.06,0.06,0.04,0.04,0.022222222222222223,0.4,0.53,0.0,0.07,0
1436.628805212894,22.064641456195574,1538.44,0.045321440000000004,0.06,0.07,0.05,0.05,0.04395604395604396,0.32,0.63,0.0,0.05,0
1307.716932169789,20.03242849524799,1566.21,0.05200513,0.06,0.06,0.04,0.04,0.044444444444444446,0.34,0.59,0.0,0.07,0
1382.9526432968216,21.299132039070102,1583.82,0.04789219000000001,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1146.8758771693392,17.33750381208374,1563.93,0.05768651999999999,0.06,0.06,0.06,0.06,0.0449438202247191,0.39,0.54,0.0,0.07,0
1342.170868802584,20.57282141021741,1645.0,0.04861229000000001,0.06,0.06,0.04,0.04,0.021739130434782608,0.34,0.61,0.0,0.05,0
1290.20315755666,19.776259312640406,1684.71,0.05268396000000001,0.06,0.06,0.04,0.04,0.04395604395604396,0.34,0.6,0.0,0.06,0
1406.9567761122967,21.668824520441962,1670.89,0.04615283,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1197.7737291921662,18.131603530005542,1669.5,0.055375709999999995,0.06,0.07,0.06,0.06,0.045454545454545456,0.37,0.55,0.0,0.08,0
1263.9043448518357,19.269771990422864,1697.66,0.05189724,0.07,0.08,0.04,0.04,0.022222222222222223,0.36,0.57,0.0,0.07,0
1410.11565348377,21.052786704744253,1737.07,0.04958096,0.06,0.07,0.06,0.06,0.0449438202247191,0.32,0.6,0.0,0.08,0
1404.8737030001398,21.62342162536771,1760.09,0.04625449000000001,0.06,0.06,0.05,0.05,0.0449438202247191,0.32,0.61,0.0,0.07,0
1213.5586593312105,18.44314071931931,1807.69,0.05516514,0.06,0.06,0.05,0.05,0.044444444444444446,0.37,0.57,0.0,0.06,0
1155.5567876503894,17.54565423095034,1835.02,0.056996710000000006,0.06,0.06,0.04,0.04,0.021739130434782608,0.38,0.57,0.0,0.05,0
1470.9813640956568,22.654880087719956,1840.31,0.04480594000000001,0.06,0.06,0.04,0.04,0.044444444444444446,0.32,0.62,0.0,0.06,0
1299.800984828467,19.9754262306511,1853.07,0.05020458000000001,0.07,0.08,0.04,0.04,0.045454545454545456,0.33,0.58,0.0,0.09,0
1293.4338525244434,19.756130327240623,1890.2,0.05070721000000001,0.06,0.06,0.05,0.05,0.0449438202247191,0.34,0.59,0.0,0.07,0
1141.9178551851799,17.280839212850786,1887.97,0.05787003,0.06,0.07,0.06,0.05,0.033707865168539325,0.38,0.55,0.0,0.07,0
1386.2318558421157,21.27754191622587,1939.55,0.047100529999999995,0.06,0.07,0.05,0.05,0.03296703296703297,0.32,0.62,0.0,0.06,0
1298.590410320895,19.810685130753548,2000.57,0.05142155000000001,0.06,0.06,0.04,0.04,0.04395604395604396,0.36,0.58,0.0,0.06,0
1450.435534056997,22.410932232030238,1978.82,0.046706519999999994,0.06,0.06,0.05,0.05,0.0449438202247191,0.31,0.62,0.0,0.07,0
1146.1994466766826,17.332518473864848,1950.11,0.05778277999999999,0.07,0.08,0.05,0.05,0.04597701149425287,0.38,0.53,0.0,0.09,0
1261.6605974463635,19.332831710793187,2096.35,0.05172784999999999,0.06,0.06,0.04,0.04,0.021505376344086023,0.35,0.61,0.0,0.04,0
1312.7715441369583,20.128358542424998,2071.25,0.04976606999999999,0.06,0.06,0.04,0.04,0.044444444444444446,0.33,0.6,0.0,0.07,0
1375.2413390902102,21.160814572860595,2104.19,0.047265619999999994,0.06,0.06,0.05,0.05,0.044444444444444446,0.33,0.61,0.0,0.06,0
1219.9274032292533,18.483748533776566,2078.47,0.05415628000000001,0.06,0.07,0.06,0.06,0.045454545454545456,0.36,0.56,0.0,0.08,0
1188.2610775214964,18.042227110863898,2155.1,0.055428,0.06,0.06,0.04,0.04,0.021739130434782608,0.38,0.57,0.0,0.05,0
1465.384801285421,22.586078934732136,2120.3,0.046065459999999996,0.07,0.09,0.05,0.05,0.045454545454545456,0.3,0.61,0.0,0.09,0
1314.4483135108305,20.14788953879262,2207.22,0.04963519000000001,0.06,0.06,0.04,0.05,0.044444444444444446,0.34,0.6,0.0,0.06,0
1291.5677164440174,19.70956380961418,2211.87,0.05167909000000001,0.06,0.06,0.05,0.05,0.0449438202247191,0.35,0.58,0.0,0.07,0
1140.6984952127061,17.309537104896908,2202.51,0.05777411999999999,0.06,0.06,0.05,0.04,0.033707865168539325,0.38,0.55,0.0,0.07,0
1348.5192448956618,20.762421014559845,2317.04,0.048266279999999995,0.06,0.06,0.04,0.04,0.03225806451612903,0.33,0.63,0.0,0.04,0
1313.035418093481,20.03716493351871,2298.24,0.049955870000000006,0.06,0.06,0.04,0.04,0.044444444444444446,0.35,0.58,0.0,0.07,0
1444.7997051356176,22.365320512935256,2278.81,0.04669746999999999,0.07,0.08,0.06,0.06,0.045454545454545456,0.29,0.63,0.0,0.08,0
1148.9006751758818,17.29490704765741,2260.35,0.057885869999999985,0.06,0.07,0.06,0.06,0.045454545454545456,0.4,0.52,0.0,0.08,0
1349.5718007386356,20.69895399905883,2419.72,0.04831167999999999,0.06,0.06,0.04,0.04,0.021505376344086023,0.34,0.62,0.0,0.04,0
1370.9201260074487,20.930078259655705,2381.05,0.04990183,0.06,0.07,0.05,0.05,0.0449438202247191,0.34,0.58,0.0,0.08,0
1445.2584704433234,22.25871662472391,2407.83,0.046911249999999995,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1180.6036714909258,17.931404488015275,2427.67,0.05779102,0.06,0.06,0.05,0.05,0.0449438202247191,0.37,0.56,0.0,0.07,0
1274.7927583811318,19.51014322591264,2439.19,0.05125787,0.07,0.08,0.04,0.04,0.022222222222222223,0.35,0.58,0.0,0.07,0
1310.3668647056707,20.008655744475043,2523.45,0.05002615,0.06,0.06,0.04,0.04,0.04395604395604396,0.35,0.59,0.0,0.06,0
1380.90174393875,21.267545725223318,2506.37,0.04712337,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1220.5481980569818,18.625792737020934,2534.66,0.05440194999999999,0.06,0.06,0.05,0.05,0.0449438202247191,0.35,0.58,0.0,0.07,0
1162.3016739219527,17.589311046034393,2548.38,0.05685518999999999,0.06,0.07,0.05,0.05,0.02197802197802198,0.38,0.56,0.0,0.06,0
1481.1842810059995,22.82256211103235,2559.96,0.044621259999999996,0.06,0.07,0.05,0.05,0.0449438202247191,0.31,0.62,0.0,0.07,0
1337.3463286400488,20.492588547962747,2567.54,0.04882135,0.07,0.08,0.04,0.04,0.045454545454545456,0.33,0.58,0.0,0.09,0
1276.2141280353262,19.48716029982175,2659.31,0.05241401,0.06,0.06,0.05,0.05,0.044444444444444446,0.35,0.59,0.0,0.06,0
1138.8084849008544,17.280857130513724,2617.23,0.057869989999999996,0.06,0.06,0.05,0.04,0.033707865168539325,0.38,0.55,0.0,0.07,0
1388.6633447577144,21.367338740694176,2712.57,0.04681228,0.06,0.06,0.04,0.04,0.03260869565217391,0.33,0.62,0.0,0.05,0
1252.0523411027355,19.11822173007689,2751.73,0.05240831,0.06,0.06,0.04,0.04,0.04395604395604396,0.35,0.59,0.0,0.06,0
1426.0882620666234,21.9499501626385,2694.3,0.046502720000000004,0.06,0.06,0.05,0.05,0.0449438202247191,0.32,0.61,0.0,0.07,0
1162.2828135835312,17.60501080859635,2747.2,0.05709809999999999,0.06,0.07,0.06,0.06,0.0449438202247191,0.37,0.56,0.0,0.07,0
1243.691656299393,18.97317553469707,2809.05,0.05270848000000001,0.06,0.06,0.04,0.04,0.021739130434782608,0.36,0.59,0.0,0.05,0
1398.2255130687317,21.346954397995905,2759.0,0.047788470000000006,0.07,0.09,0.05,0.05,0.045454545454545456,0.34,0.57,0.0,0.09,0
1410.444619435157,21.813248058075423,2806.82,0.04672734,0.06,0.06,0.05,0.05,0.0449438202247191,0.3,0.63,0.0,0.07,0
1259.9633262600346,17.973799233381378,2632.84,0.055662399999999994,0.09,0.1,0.06,0.06,0.04819277108433735,0.37,0.5,0.0,0.13,0
1566.4779155799013,22.623886706815444,2797.9,0.044201130000000005,0.09,0.09,0.06,0.06,0.022727272727272728,0.31,0.6,0.0,0.09,0
1327.5050534334832,20.077208914601986,2891.46,0.04992516,0.08,0.08,0.05,0.05,0.0449438202247191,0.34,0.58,0.0,0.08,0
1361.083560295411,19.683059440280708,2847.98,0.050898120000000005,0.08,0.08,0.07,0.07,0.04597701149425287,0.34,0.57,0.0,0.09,0
1198.7481543856259,18.02357772343446,2878.4,0.05548537,0.08,0.09,0.05,0.05,0.02247191011235955,0.37,0.55,0.0,0.08,0
1421.1883483952943,21.83420415417567,2949.0,0.045903999999999986,0.06,0.07,0.05,0.05,0.044444444444444446,0.31,0.62,0.0,0.07,0
1287.302700654606,19.713670760407442,3045.43,0.05081423,0.06,0.06,0.04,0.05,0.044444444444444446,0.35,0.59,0.0,0.06,0
1370.692898399965,19.759159556003535,2906.15,0.05069716,0.08,0.09,0.08,0.08,0.046511627906976744,0.34,0.56,0.0,0.1,0
1184.7213737928446,18.057024444335386,3065.13,0.05538266000000002,0.06,0.06,0.05,0.05,0.021739130434782608,0.37,0.58,0.0,0.05,0
1497.1277327201992,21.744774621934628,2932.59,0.04609710000000001,0.09,0.09,0.05,0.05,0.046511627906976744,0.31,0.58,0.0,0.11,0
1553.957362492184,22.933255054489138,2915.08,0.04361301,0.09,0.11,0.06,0.06,0.047619047619047616,0.29,0.59,0.0,0.12,0
1141.896669946869,17.30670915348392,3056.93,0.057789789999999994,0.07,0.07,0.05,0.05,0.045454545454545456,0.39,0.53,0.0,0.08,0
1382.2520463428596,20.327235975630288,3143.51,0.049201169999999995,0.07,0.07,0.05,0.05,0.02197802197802198,0.33,0.61,0.0,0.06,0
1364.5819665645195,20.032031217917197,3199.23,0.05071029999999999,0.07,0.07,0.05,0.05,0.044444444444444446,0.35,0.58,0.0,0.07,0
1458.7758139172545,22.119420984340476,3102.93,0.045310319999999994,0.07,0.08,0.07,0.07,0.045454545454545456,0.31,0.61,0.0,0.08,0
1153.2255227882915,17.499628570383784,3212.75,0.057690149999999996,0.06,0.06,0.05,0.05,0.0449438202247191,0.38,0.55,0.0,0.07,0
1402.0365474326447,20.539650563033177,3119.69,0.048688770000000006,0.08,0.1,0.06,0.06,0.022727272727272728,0.33,0.58,0.0,0.09,0
1283.869933948529,19.66110159186109,3340.84,0.051418929999999995,0.06,0.06,0.04,0.04,0.04395604395604396,0.35,0.59,0.0,0.06,0
1601.2493367259033,22.36069455000563,3101.21,0.04481759999999999,0.09,0.09,0.06,0.06,0.047619047619047616,0.3,0.58,0.0,0.12,0
1206.729220068624,17.483761519394726,3178.01,0.057198410000000005,0.08,0.09,0.05,0.05,0.022727272727272728,0.38,0.53,0.0,0.09,0
1482.746225736888,22.92433867867792,3265.13,0.04416892,0.07,0.07,0.04,0.04,0.045454545454545456,0.3,0.62,0.0,0.08,0
1304.1573472305686,19.895611704509054,3416.93,0.050713810000000005,0.06,0.06,0.04,0.04,0.04395604395604396,0.36,0.58,0.0,0.06,0
1350.229473866501,15.88879117282303,2499.43,0.06508496999999999,0.1,0.16,0.17,0.09,0.06060606060606061,0.14,0.56,0.0,0.3,0
3870.9148086684777,35.062634136489834,2235.87,0.028623040000000002,0.08,0.15,0.12,0.08,0.03225806451612903,0.29,0.35,0.0,0.36,0
1621.7928674076325,22.890513301448586,3243.98,0.044068079999999996,0.07,0.09,0.07,0.07,0.047619047619047616,0.29,0.59,0.0,0.12,0
1315.8720203493572,17.475060031199963,3214.37,0.05725364000000001,0.07,0.08,0.07,0.07,0.023255813953488372,0.38,0.51,0.0,0.11,0
1693.3113173110637,22.885678028261438,3288.54,0.04416036999999999,0.07,0.08,0.06,0.06,0.047058823529411764,0.3,0.58,0.0,0.12,0
1558.974546259665,22.825395992088797,3354.08,0.04381920000000001,0.08,0.09,0.06,0.06,0.046511627906976744,0.3,0.6,0.0,0.1,0
1231.24130206996,17.687707255709814,3293.78,0.05748095,0.08,0.09,0.05,0.05,0.023529411764705882,0.39,0.49,0.0,0.12,0
1589.356002875363,22.980856027694664,3413.72,0.043514540000000004,0.09,0.11,0.06,0.06,0.04597701149425287,0.3,0.6,0.0,0.1,0
1308.3988421384545,20.119926835898116,3570.28,0.049703699999999996,0.06,0.06,0.04,0.05,0.0449438202247191,0.33,0.6,0.0,0.07,0
1324.954572986071,19.41325381664573,3574.77,0.05161559,0.07,0.07,0.06,0.06,0.0449438202247191,0.34,0.59,0.0,0.07,0
1150.8674756773312,17.334952186734917,3577.33,0.05768947,0.06,0.07,0.05,0.05,0.02197802197802198,0.4,0.54,0.0,0.06,0
1402.644720678279,21.69261863096627,3605.86,0.04625938999999999,0.06,0.06,0.04,0.04,0.0449438202247191,0.3,0.63,0.0,0.07,0
1380.946737280748,20.224761823092386,3647.67,0.05003447,0.07,0.08,0.06,0.06,0.0449438202247191,0.34,0.58,0.0,0.08,0
1436.190414252378,20.844563341834224,3554.37,0.048916809999999984,0.09,0.1,0.07,0.07,0.046511627906976744,0.33,0.57,0.0,0.1,0
1138.764010771778,17.28018225753836,3650.35,0.05787224999999999,0.06,0.06,0.04,0.04,0.022222222222222223,0.38,0.55,0.0,0.07,0
1408.803361166581,21.697264148568934,3771.48,0.046088819999999996,0.06,0.06,0.04,0.04,0.04395604395604396,0.32,0.63,0.0,0.05,0
1428.3692305727732,21.28399985952575,3762.45,0.04792627999999999,0.06,0.07,0.06,0.06,0.044444444444444446,0.34,0.59,0.0,0.07,0
1327.4449757571433,20.353342161256414,3794.8,0.05112446,0.06,0.06,0.05,0.05,0.0449438202247191,0.33,0.6,0.0,0.07,0
1136.2403212113184,17.252358354256277,3765.41,0.057965619999999995,0.06,0.06,0.05,0.05,0.044444444444444446,0.38,0.56,0.0,0.06,0
1375.1540378396141,21.00754717139649,3831.97,0.04761238000000002,0.06,0.07,0.05,0.05,0.02197802197802198,0.34,0.6,0.0,0.06,0
1295.5439875684901,19.845955691919276,3897.83,0.05245585999999999,0.06,0.06,0.04,0.04,0.044444444444444446,0.34,0.59,0.0,0.07,0
1461.4560319326708,22.43217240111544,3824.34,0.04505289000000001,0.06,0.07,0.06,0.06,0.0449438202247191,0.32,0.61,0.0,0.07,0
1165.686974120435,17.694094932004177,3799.46,0.05779334999999999,0.07,0.08,0.05,0.05,0.04597701149425287,0.37,0.54,0.0,0.09,0
1279.3702475233056,19.529388605148917,4008.32,0.05120712999999998,0.06,0.06,0.04,0.04,0.021505376344086023,0.36,0.6,0.0,0.04,0
1357.7876547400608,20.799443240503383,3993.19,0.05017725000000001,0.06,0.06,0.04,0.04,0.044444444444444446,0.34,0.59,0.0,0.07,0
1398.9542639126087,21.54557621919927,3973.86,0.046517289999999996,0.06,0.06,0.05,0.05,0.044444444444444446,0.32,0.62,0.0,0.06,0
1238.9008436928043,18.905857526214014,4007.37,0.05501651,0.06,0.06,0.05,0.05,0.0449438202247191,0.35,0.58,0.0,0.07,0
1151.5695813034993,17.469198745502112,4059.0,0.05724611,0.06,0.06,0.04,0.04,0.021739130434782608,0.39,0.56,0.0,0.05,0
1516.040157414757,22.62746503604115,3893.95,0.044239139999999996,0.07,0.1,0.06,0.06,0.04597701149425287,0.31,0.59,0.0,0.1,0
1345.5898010282797,20.653719125530003,4079.09,0.048417449999999994,0.06,0.07,0.06,0.06,0.0449438202247191,0.32,0.61,0.0,0.07,0
1258.740399055112,19.208612834657593,4096.91,0.05300481999999999,0.06,0.06,0.05,0.05,0.0449438202247191,0.35,0.58,0.0,0.07,0
1151.1037165846003,17.396157119307848,4138.87,0.057486459999999996,0.06,0.06,0.04,0.04,0.021739130434782608,0.4,0.55,0.0,0.05,0
1394.1145432787678,21.554028189220283,4168.56,0.04676145,0.06,0.06,0.04,0.04,0.044444444444444446,0.31,0.63,0.0,0.06,0
1310.7591261579012,20.00242829479477,4193.7,0.05003354,0.06,0.06,0.04,0.04,0.044444444444444446,0.35,0.58,0.0,0.07,0
1391.6504403927431,21.43969250335454,4147.04,0.048704790000000005,0.07,0.08,0.05,0.05,0.045454545454545456,0.31,0.61,0.0,0.08,0
1145.7098607878577,17.304181555472855,4140.2,0.057885269999999996,0.06,0.06,0.05,0.05,0.0449438202247191,0.4,0.53,0.0,0.07,0
1305.4997658233622,20.03221982236247,4325.98,0.04991962,0.06,0.07,0.05,0.05,0.021739130434782608,0.33,0.62,0.0,0.05,0
1313.3743720234754,20.042337433594927,4292.54,0.04999369,0.06,0.06,0.04,0.04,0.044444444444444446,0.35,0.58,0.0,0.07,0
1434.5641997320256,22.104224957350166,4265.05,0.046722400000000004,0.06,0.07,0.06,0.06,0.0449438202247191,0.31,0.62,0.0,0.07,0
1173.535909681954,17.824056951427007,4307.9,0.05618196,0.06,0.06,0.05,0.05,0.0449438202247191,0.37,0.56,0.0,0.07,0
1258.4923749151308,19.204827940105766,4281.03,0.0520727,0.07,0.08,0.04,0.04,0.022222222222222223,0.35,0.58,0.0,0.07,0
1350.0836973254586,20.694109401064665,4403.28,0.04942114000000001,0.06,0.06,0.04,0.04,0.04395604395604396,0.34,0.6,0.0,0.06,0
1355.7668189582962,20.867582252705805,4403.69,0.04792125999999999,0.06,0.06,0.05,0.05,0.0449438202247191,0.32,0.61,0.0,0.07,0
1243.6001778904617,18.989161366475212,4471.09,0.05360374999999999,0.06,0.06,0.05,0.05,0.044444444444444446,0.35,0.59,0.0,0.06,0
1145.8494775968795,17.316751966100643,4404.55,0.057750050000000004,0.06,0.06,0.04,0.04,0.02197802197802198,0.4,0.54,0.0,0.06,0
1483.674432770262,22.88208563803612,4448.79,0.043719410000000014,0.06,0.07,0.06,0.06,0.044444444444444446,0.3,0.64,0.0,0.06,0
1362.9531447415688,20.945952739228044,4455.72,0.04882202,0.07,0.08,0.04,0.04,0.045454545454545456,0.33,0.58,0.0,0.09,0
1250.1394862412403,19.042490270239764,4510.8,0.05261188,0.06,0.07,0.06,0.06,0.0449438202247191,0.34,0.59,0.0,0.07,0
1143.802232324442,17.285812790153273,4501.66,0.0578534,0.06,0.06,0.04,0.04,0.02197802197802198,0.4,0.54,0.0,0.06,0
1402.6123872432559,21.672008455550923,4590.14,0.04615558,0.06,0.06,0.04,0.04,0.044444444444444446,0.31,0.63,0.0,0.06,0
1258.9846113209644,19.22407407727843,4670.19,0.05209696999999999,0.06,0.06,0.04,0.04,0.04395604395604396,0.35,0.59,0.0,0.06,0
1409.7345307643186,21.718295035654272,4591.29,0.04698668,0.06,0.06,0.05,0.05,0.0449438202247191,0.31,0.62,0.0,0.07,0
